provider_code,provider_name,city,claim_type
HSP0001,Choudhury Hospital,Panipat,health
HSP0002,Konda Nursing Home,Kolhapur,health
HSP0003,Chaudry Nursing Home,Gudivada,health
HSP0004,Sami Nursing Home,Ludhiana,health
HSP0005,Chander Medical Centre,Muzaffarpur,health
HSP0006,Tiwari Nursing Home,Kishanganj,health
HSP0007,Issac Hospital,Muzaffarnagar,health
HSP0008,Sen Healthcare,Chennai,health
HSP0009,Dutta Medical Centre,Mau,health
HSP0010,Mall Healthcare,Thrissur,health
HSP0011,Nayar Hospital,Tiruchirappalli,health
HSP0012,Rai Medical Centre,Secunderabad,health
HSP0013,Padmanabhan Nursing Home,Varanasi,health
HSP0014,Sharaf Medical Centre,Burhanpur,health
HSP0015,Brar Medical Centre,Tadipatri,health
HSP0016,Pathak Hospital,Coimbatore,health
HSP0017,Bath Multispeciality Hospital,Ramagundam,health
HSP0018,Buch Multispeciality Hospital,Salem,health
HSP0019,Rai Multispeciality Hospital,Malda,health
HSP0020,Patla Nursing Home,Uluberia,health
HSP0021,Pant Nursing Home,Shimoga,health
HSP0022,Bora Nursing Home,Deoghar,health
HSP0023,Konda Multispeciality Hospital,Surendranagar Dudhrej,health
HSP0024,Raghavan Healthcare,Proddatur,health
HSP0025,Kanda Hospital,Pimpri-Chinchwad,health
HSP0026,Karnik Multispeciality Hospital,Satna,health
HSP0027,Rattan Hospital,Amritsar,health
HSP0028,Kakar Multispeciality Hospital,Rajpur Sonarpur,health
HSP0029,Tata Healthcare,Berhampore,health
HSP0030,Dhar Multispeciality Hospital,Kolhapur,health
HSP0031,Koshy Healthcare,Bhimavaram,health
HSP0032,Sangha Medical Centre,Mirzapur,health
HSP0033,Kanda Nursing Home,Danapur,health
HSP0034,Tak Medical Centre,Nashik,health
HSP0035,Choudhary Multispeciality Hospital,Kozhikode,health
HSP0036,Sami Nursing Home,Kharagpur,health
HSP0037,Raj Healthcare,Dehri,health
HSP0038,Krishnamurthy Multispeciality Hospital,Raipur,health
HSP0039,Yadav Nursing Home,Mau,health
HSP0040,Choudhury Multispeciality Hospital,Raebareli,health
HSP0041,Dugar Nursing Home,Delhi,health
HSP0042,Lall Nursing Home,Guna,health
HSP0043,Cherian Medical Centre,Guna,health
HSP0044,Issac Nursing Home,Dindigul,health
HSP0045,Edwin Multispeciality Hospital,Khora ,health
HSP0046,Naik Hospital,Surat,health
HSP0047,Choudhury Hospital,Aizawl,health
HSP0048,Khatri Medical Centre,New Delhi,health
HSP0049,Brar Healthcare,Shivpuri,health
HSP0050,Biswas Hospital,Warangal,health
HSP0051,Soman Medical Centre,Bilaspur,health
HSP0052,Wable Nursing Home,Rajpur Sonarpur,health
HSP0053,Zacharia Multispeciality Hospital,Bijapur,health
HSP0054,Rastogi Nursing Home,Bahraich,health
HSP0055,Varughese Multispeciality Hospital,Jamshedpur,health
HSP0056,Kota Healthcare,Rajkot,health
HSP0057,Nigam Medical Centre,Giridih,health
HSP0058,Karpe Medical Centre,Chennai,health
HSP0059,Bobal Hospital,Berhampur,health
HSP0060,Bir Medical Centre,Bathinda,health
HSP0061,Bobal Healthcare,Alwar,health
HSP0062,Sunder Hospital,Panvel,health
HSP0063,Deo Nursing Home,Latur,health
HSP0064,Solanki Medical Centre,Jhansi,health
HSP0065,Chandra Nursing Home,Chinsurah,health
HSP0066,Pandya Nursing Home,Bulandshahr,health
HSP0067,Sibal Medical Centre,Navi Mumbai,health
HSP0068,Bhat Multispeciality Hospital,Sonipat,health
HSP0069,Chopra Nursing Home,Nellore,health
HSP0070,Gupta Hospital,Kolhapur,health
HSP0071,Sami Medical Centre,Alwar,health
HSP0072,Shere Hospital,Aurangabad,health
HSP0073,Savant Nursing Home,Dhanbad,health
HSP0074,Zachariah Nursing Home,Tiruchirappalli,health
HSP0075,Khalsa Hospital,Vellore,health
HSP0076,Sunder Nursing Home,Kakinada,health
HSP0077,Rattan Medical Centre,Dehradun,health
HSP0078,Raghavan Nursing Home,Pali,health
HSP0079,Lanka Hospital,Baranagar,health
HSP0080,Sampath Hospital,Bhatpara,health
GRG0001,Gupta Automobiles,Bellary,auto
GRG0002,Bhardwaj Service Centre,Satara,auto
GRG0003,Bhandari Auto Works,Bhimavaram,auto
GRG0004,Sood Automobiles,Howrah,auto
GRG0005,Trivedi Car Care,Gaya,auto
GRG0006,Biswas Car Care,Noida,auto
GRG0007,Raval Car Care,Jehanabad,auto
GRG0008,Koshy Motors,Udupi,auto
GRG0009,Bumb Automobiles,Ballia,auto
GRG0010,Virk Motors,Bhilwara,auto
GRG0011,Jayaraman Motors,Mathura,auto
GRG0012,Lanka Auto Works,Mira-Bhayandar,auto
GRG0013,Mital Auto Works,Satna,auto
GRG0014,Bora Motors,Berhampore,auto
GRG0015,Chaudhry Motors,Siwan,auto
GRG0016,Kala Service Centre,Mira-Bhayandar,auto
GRG0017,Palla Automobiles,Sambalpur,auto
GRG0018,Pingle Motors,Sangli-Miraj & Kupwad,auto
GRG0019,Sarma Auto Works,Pudukkottai,auto
GRG0020,Wadhwa Car Care,Begusarai,auto
GRG0021,Mistry Automobiles,Guntur,auto
GRG0022,Lalla Service Centre,Aligarh,auto
GRG0023,Dugal Service Centre,Ichalkaranji,auto
